01.10.2025                                                   Salida dinámica de lista                                                                                                         1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Cl.|Aviso    |Fecha     |Descripción                             |Equipo   |Ubicac.técnica  |DurParada|Aut.aviso   |Por     |Orden     |Fin desead|Texto código p. codificación           |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|X  M2 |154890488|01.08.2025|ORDENAMIENTO DE REPUESTOS               |         |SA-APR-LCT2     |    0.00 |C.MCOLQ     |YAPRRU  |2003080410|02.08.2025|                                       |
|X  M2 |154890374|01.08.2025|INSUMOS EMBRAGUE CIZALLA                |156      |SA-APR-CIZ1     |    0.00 |C.MCOLQ     |C.MCOLQ |2003080036|02.08.2025|                                       |
|X  M2 |154924224|15.08.2025|MOVIMIENTOS DE REPUESTOS                |10420    |SA-ASE-TALL     |    0.00 |C.MCOLQ     |        |2003140158|16.08.2025|                                       |
|X  M2 |154914970|12.08.2025|Cambio de bomba de enfriamiento         |57075    |SA-APR-LCT2     |    0.00 |C.MCOLQ     |        |2003126153|13.08.2025|                                       |
|X  M2 |155027678|27.09.2025|FALLA EN CARRO EXTRACTOR                |         |SA-APR-LCT1     |    0.17 |INTERFASEQNX|        |          |28.09.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |155027722|27.09.2025|FALLA DE CARRO EXTRACTOR                |         |SA-APR-LCT1     |    0.17 |INTERFASEQNX|SGL_RFC |          |28.09.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |155028113|27.09.2025|PROBLEMAS EN LINEA CIZALLA PARA HACER MU|         |SA-APR-LCT1     |    0.37 |INTERFASEQNX|        |          |28.09.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154540294|13.03.2025|SE APAGA MONITOR DE TIJERA DE CORTE     |         |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |14.03.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |155032977|30.09.2025|SE APAGA PANTALLA DE ENTRADA DE PULPITO |         |SA-APR-LCT2     |    0.05 |INTERFASEQNX|        |          |01.10.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |155024357|25.09.2025|FALLA EN TOPE FIJO                      |         |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |26.09.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154520609|05.03.2025|p3btij 2 queda mal posicionada y en aut-|25       |SA-ASE-EIZA-PERC|    0.08 |INTERFASEQNX|C.GOSALV|          |06.03.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154564705|22.03.2025|FALLA EN SEMI CONO                      |35       |SA-APR-GRUA-G303|    0.17 |INTERFASEQNX|APAPHC  |          |23.03.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154933430|20.08.2025|FALLA GRUA 302                          |36       |SA-APR-GRUA-G302|    0.00 |INTERFASEQNX|APAPHC  |          |21.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154638977|21.04.2025|FALLA IZAJE PG 302                      |36       |SA-APR-GRUA-G302|    0.08 |INTERFASEQNX|APAPHC  |          |22.04.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154784598|19.06.2025|FALLA GRUA 302 EN MEDIO DEL CAMBIO DE CA|36       |SA-APR-GRUA-G302|    0.17 |INTERFASEQNX|APAPHC  |          |20.06.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154722618|27.05.2025|FALLA APERTURA Y CIERRE DE LA PINZA NUEV|39       |SA-APR-GRUA-G305|    0.83 |INTERFASEQNX|GRSANCHE|          |28.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154740023|03.06.2025|SE DESACTIVA TERMICA DE DEBOBINADORES   |53       |SA-APR-LCT1     |    0.20 |APARFG      |APARFG  |          |04.06.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154668651|04.05.2025|FALLA EN CIERRE DE SEMICONO, SE CENTRA B|53       |SA-APR-LCT1     |    0.12 |APARFG      |APARFG  |          |05.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154668590|04.05.2025|FALLA EN CIERRE DE SEMICONO, SE CENTRA B|53       |SA-APR-LCT1     |    0.15 |INTERFASEQNX|APAPHC  |          |05.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154668499|04.05.2025|FALLA EN CIERRE DE SEMI CONO, SE CENTRA |53       |SA-APR-LCT1     |    0.15 |APARFG      |APARFG  |          |05.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154668375|04.05.2025|FALLA EN CIERRE DE SEMI CONO, SE REALIZA|53       |SA-APR-LCT1     |    0.08 |APARFG      |APARFG  |          |05.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154802375|26.06.2025|SALTA TERMICA DE LOS CONOS              |53       |SA-APR-LCT1     |    0.13 |INTERFASEQNX|APAPHC  |          |27.06.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154668309|04.05.2025|PROBLEMA EN CIERRE DE CONOS, SE REALIZAN|53       |SA-APR-LCT1     |    0.15 |APARFG      |APARFG  |          |05.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154668308|04.05.2025|PROBLEMA EN CONO LADO MOTOR, NO CIERRA, |53       |SA-APR-LCT1     |    0.22 |APARFG      |YAPRRU  |          |05.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154668303|04.05.2025|CONO LADO MOTOR NO CIERRA EN ENHEBRADO A|53       |SA-APR-LCT1     |    0.05 |APARFG      |APARFG  |          |05.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154425096|26.01.2025|FALLAN CONOS                            |53       |SA-APR-LCT1     |    0.00 |INTERFASEQNX|APAPHC  |          |27.01.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154668302|04.05.2025|CONO LADO MOTOR NO CIERRA EN ENHEBRADO A|53       |SA-APR-LCT1     |    0.10 |APARFG      |APARFG  |          |05.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154667594|03.05.2025|FALLA EN CIERRE DE SEMI CONO            |53       |SA-APR-LCT1     |    0.07 |APARFG      |APARFG  |          |04.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154664958|02.05.2025|FALLA EN CIERRE DE SEMI CONO            |53       |SA-APR-LCT1     |    0.07 |APARFG      |APARFG  |          |03.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154665224|02.05.2025|FALLA EN CIERRE DE SEMI CONO            |53       |SA-APR-LCT1     |    0.07 |APARFG      |APARFG  |          |03.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154665474|02.05.2025|FALLA EN CIERRE DE SEMI CONOS           |53       |SA-APR-LCT1     |    0.08 |APARFG      |APARFG  |          |03.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154481848|18.02.2025|FALLA BRAZO DE QUIEBRE                  |53       |SA-APR-LCT1     |    0.22 |INTERFASEQNX|APAPHC  |          |19.02.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154472751|13.02.2025|FALLA EN PINCHROLL DE TIJERA            |53       |SA-APR-LCT1     |    0.13 |INTERFASEQNX|APAPHC  |          |14.02.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154935182|20.08.2025|FALLA DE SENSOR (FUERA DE POSICION)     |53       |SA-APR-LCT1     |    0.43 |INTERFASEQNX|APAPHC  |          |21.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154564704|22.03.2025|FALLA EN SEMICONO                       |53       |SA-APR-LCT1     |    0.25 |INTERFASEQNX|APAPHC  |          |23.03.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154984509|09.09.2025|FALLAS EN CICLADO, CARRO NO QUEDA EN POS|57       |SA-APR-LCT1     |    0.17 |APARFG      |APARFG  |          |10.09.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154887101|31.07.2025|SE INTERVIENE EN CIZALLA                |57       |SA-APR-LCT1     |    0.37 |INTERFASEQNX|APAPHC  |          |01.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154422512|24.01.2025|FALLA EN APILADOR OESTE                 |59       |SA-APR-LCT1     |    0.22 |INTERFASEQNX|APAPHC  |          |25.01.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154415212|22.01.2025|SE SACAN LATERALES BASTIDORES POR MATERI|59       |SA-APR-LCT1     |    0.00 |INTERFASEQNX|APAPHC  |          |23.01.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |155032653|30.09.2025|SE REGULA SENSOR DE BRAZO AFUERA        |168      |SA-APR-LCT1     |    0.15 |INTERFASEQNX|C.ROROM |          |01.10.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154535570|11.03.2025|FALLA EN SENSOR DE BRAZO ARRIBA         |168      |SA-APR-LCT1     |    0.78 |INTERFASEQNX|APAPHC  |          |12.03.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |155031633|29.09.2025|FALLA PINCHROLL DE CARRO TIJERA         |190      |SA-APR-LCT1     |    0.12 |INTERFASEQNX|JUSORIA |          |30.09.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154548421|16.03.2025|FALLA EN LATERAL LADO MOTOR, APILADOR   |199      |SA-APR-LCT1     |    0.10 |INTERFASEQNX|APAPHC  |          |17.03.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154715216|23.05.2025|SE REPONE Y CONTROLA TOPE DE FONDO      |209      |SA-APR-LCT1     |    0.15 |INTERFASEQNX|C.MCOLQ |          |24.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154996114|13.09.2025|SE SACA SENSOR DE BRAZO DE QUIEBRE      |431      |SA-APR-LCT1     |    0.18 |INTERFASEQNX|APAPHC  |          |14.09.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154435459|29.01.2025|Loop.                                   |455      |SA-APR-LCT1     |    0.00 |INTERFASEQNX|APAPHC  |          |30.01.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154701809|18.05.2025|FALLA EN CARRO EXTRACTOR                |488      |SA-APR-LCT1     |    0.07 |APARFG      |APARFG  |          |19.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154701810|18.05.2025|FALLA EN CARRO EXTRACTOR                |488      |SA-APR-LCT1     |    0.07 |APARFG      |APARFG  |          |19.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154784199|19.06.2025|SE COLOCAN REFLECTORES                  |39093    |SA-APR-LCT1     |    0.00 |INTERFASEQNX|APAPHC  |          |20.06.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154784348|19.06.2025|SE COLOCAN REFLECTORES                  |39093    |SA-APR-LCT1     |    0.00 |INTERFASEQNX|APAPHC  |          |20.06.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154568993|25.03.2025|NO CORTA DEMORA. MAQUINA EN PROCESO.**  |39093    |SA-APR-LCT1     |    0.23 |INTERFASEQNX|APAPHC  |          |26.03.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154946037|25.08.2025|FALLA CARRO PORTA BOBINA                |56842    |SA-APR-LCT2     |    0.17 |INTERFASEQNX|C.GOSALV|          |26.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154914878|12.08.2025|LIMPIEZA DE SENSOR EN SOPORTE MANDRIL   |56844    |SA-APR-LCT2     |    0.17 |APARFG      |CSANDOV |          |13.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154588984|01.04.2025|ENHEBRADO MANUAL                        |56844    |SA-APR-LCT2     |    0.08 |INTERFASEQNX|C.ROROM |          |02.04.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154588983|01.04.2025|FALLA ENHEBRADO AUTOMATICO              |56844    |SA-APR-LCT2     |    0.07 |INTERFASEQNX|C.ROROM |          |02.04.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154588982|01.04.2025|FALLA ENHEBRADO AUTOMATICO              |56844    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|C.ROROM |          |02.04.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154584233|30.03.2025|FALLA AUTOMATICO EN ENHEBRADO           |56844    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|C.ROROM |          |31.03.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154923273|15.08.2025|FALLA EN RODILLO DE APOYO               |56853    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |16.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154923760|15.08.2025|FALLA EN RODILLO DE APOYO               |56853    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |16.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154924625|15.08.2025|FALLA EN POSICION ARRIBA RODILLO DE APOY|56853    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |16.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154925601|16.08.2025|FALLA RODILLO DE APOYO DE ENTRADA       |56853    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |17.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154925607|16.08.2025|FALLA RODILLO DE APOYO DE LA ENTRADA    |56853    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |17.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154925608|16.08.2025|FALLA RODILLO DE APOYO DE LA ENTRADA    |56853    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |17.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154925609|16.08.2025|FALLA RODILLO DE APOYO DE LA ENTRADA    |56853    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |17.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154925661|16.08.2025|FALLA RODILLO DE APOYO DE ENTRADA       |56853    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |17.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154925666|16.08.2025|FALLA RODILLO DE APOYO                  |56853    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |17.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154925743|16.08.2025|FALLA RODILLO DE APOYO                  |56853    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |17.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154925744|16.08.2025|FALLA RODILLO DE APOYO DE ENTRADA       |56853    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |17.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154925746|16.08.2025|FALLA RODILLO DE APOYO DE ENTRADA       |56853    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |17.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927152|18.08.2025|FALLA RODILLO DE APOYO DE ENTRADA       |56853    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927156|18.08.2025|FALLA RODILLO DE APOYO DE ENTRADA       |56853    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927157|18.08.2025|FALLA RODILLO DE APOYO DE ENTRADA       |56853    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927375|18.08.2025|FALLA RODILLO DE APOYO DE ENTRADA       |56853    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927376|18.08.2025|FALLA RODILLO DE APOYO DE ENTRADA       |56853    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927377|18.08.2025|FALLA RODILLO DE APOYO DE ENTRADA       |56853    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|SGL_RFC |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154980849|08.09.2025|FALLA EN VENTILADOR TRACTOR ALIMENTADOR |56868    |SA-APR-LCT2     |    1.78 |APARFG      |APARFG  |          |09.09.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154928702|18.08.2025|SE TRABAJA EN RUEDA DE MEDICION         |56909    |SA-APR-LCT2     |    0.25 |INTERFASEQNX|C.ROROM |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154540295|13.03.2025|SE APAGA MONITOR DE TIJERA DE CORTE     |56920    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|APAPHC  |          |14.03.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154703366|19.05.2025|FALLA EN MONITOR EN TIJERA DE CORTE     |56920    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|APAPHC  |          |20.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154876615|26.07.2025|SE TRABA CAJON DE RECHAZO               |56920    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|APAPHC  |          |27.07.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154703367|19.05.2025|FALLA EN MONITOR TIJERA DE CORTE        |56920    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|APAPHC  |          |20.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154706073|20.05.2025|FALLA EN MONITOR TIJERA DE CORTE        |56920    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|APAPHC  |          |21.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154606299|08.04.2025|SE PRENDE PROGRAMA DE CUCHILLAS         |56920    |SA-APR-LCT2     |    0.25 |INTERFASEQNX|APAPHC  |          |09.04.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |155002419|16.09.2025|ROTURA CADENA MESA 90 1 Y FALLA EN LA BA|56934    |SA-APR-LCT2     |    5.77 |INTERFASEQNX|C.MMATE |          |17.09.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154677174|07.05.2025|FALLA EN MESA ESTENCIBLE                |56937    |SA-APR-LCT2     |    0.10 |INTERFASEQNX|YAPRRU  |          |08.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154887067|31.07.2025|MOTOREDUCTOR DEL RODILLO PISON TRABADO  |56946    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|C.MCOLQ |2003080932|01.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
